2024-06-20 09:07:03,平下,30,2,白米,ライ麦パン,3,3,3,3
2024-06-20 09:07:10,平下,30,1,白米,食パン,2,3,3,3
2024-06-20 09:07:18,平下,30,1,玄米,食パン,1,1,1,1
2024-06-20 09:07:20,平下,30,1,玄米,食パン,1,1,1,1
2024-06-20 10:18:04,平下,60,3,雑穀米,菓子パン,2,1,1,3
2024-06-20 10:18:31,平下,80,3,白米,菓子パン,0,1,1,1
2024-06-20 10:18:49,平下,70,2,その他,調理パン,0,2,1,3
2024-06-20 10:19:04,平下,40,1,白米,食パン,0,2,1,0
2024-06-20 10:19:19,平下,40,2,白米,食パン,3,0,1,0
2024-06-20 10:21:02,平下,50,2,もち麦,菓子パン,3,0,2,2
2024-06-20 10:21:11,平下,10,2,もち麦,調理パン,3,0,2,2
2024-06-20 10:21:34,平下,70,2,白米,食パン,0,2,0,0
2024-06-20 10:22:48,平下,70,2,白米,食パン,0,2,0,0
